date;hs_code;shipper_name;std_unit;std_quantity;value_fob_usd;items_number;source_port;source_country;destination_port;destination_country
23/06/2022;87042323;allison botsford;KGS;1;67867.02;1;BEAPE;Belgium;AEFMZ;United Arab Emirates
28/06/2022;87042323;lavina flatley;KGS;1;66763.00;1;DEAMS;Germany;JOZAR;Jordan
17/06/2022;87042320;neoma lakin;KGS;1;68936.80;1;BEAUG;Belgium;AEARZ;United Arab Emirates
08/06/2022;87042319;kane gleason;KGS;1;64400.92;1;DEAMM;Germany;JOAQB;Jordan
06/06/2022;87042329;briana kub;KGS;1;69475.97;1;BEAIS;Belgium;JOZAR;Jordan
14/06/2022;87042310;sammie pacocha;KGS;1;67610.27;1;BEALI;Belgium;AEFMZ;United Arab Emirates
18/06/2022;87042319;gloria abbott;KGS;1;66429.23;1;ITATR;Italy;AEFJR;United Arab Emirates
08/06/2022;87042321;celia luettgen;KGS;1;64212.64;1;ITANO;Italy;AEMAS;United Arab Emirates
05/06/2022;87042329;daryl bechtelar;KGS;1;69073.73;1;BEAQE;Belgium;AEIND;United Arab Emirates
08/06/2022;87042311;palma morissette;KGS;1;72094.80;1;DEAMU;Germany;JOQIR;Jordan
20/06/2022;87042311;randy heaney;KGS;1;65872.94;1;ITAVZ;Italy;JOAMM;Jordan
10/06/2022;87042310;queen trantow;KGS;1;66857.14;1;BEASB;Belgium;JOAQB;Jordan
06/06/2022;87042313;princess reilly;KGS;1;70751.15;1;BEAAS;Belgium;AERKT;United Arab Emirates
26/06/2022;87042311;wilber yost;KGS;1;72154.71;1;BEABK;Belgium;AEMUB;United Arab Emirates
23/06/2022;87042313;kasandra nitzsche;KGS;1;67687.29;1;DEABS;Germany;JOAMM;Jordan
19/06/2022;87042329;bertrand wiegand;KGS;1;71127.72;1;DEASH;Germany;JOMPQ;Jordan
04/06/2022;87042313;lempi stark;KGS;1;65042.79;1;ITAMA;Italy;AERUW;United Arab Emirates
15/06/2022;87042311;cullen mayert;KGS;1;66711.65;1;ITAMS;Italy;AEDBP;United Arab Emirates
11/06/2022;87042311;tierra hansen;KGS;1;69604.34;1;BEBDU;Belgium;AEDXB;United Arab Emirates
10/06/2022;87042321;niko walker;KGS;1;65410.80;1;ITALO;Italy;JOQIR;Jordan
19/06/2022;87042321;aiden abshire;KGS;1;68945.36;1;BEAES;Belgium;JOAMM;Jordan
04/06/2022;87042313;payton hettinger;KGS;1;65718.89;1;DEADO;Germany;AEKLF;United Arab Emirates
10/06/2022;87042323;brandi kozey;KGS;1;64666.23;1;BEAAS;Belgium;JOQIR;Jordan
15/06/2022;87042310;idell tillman;KGS;1;70622.78;1;BEAFN;Belgium;AEAAN;United Arab Emirates
21/06/2022;87042329;marc schimmel;KGS;1;66959.84;1;ITALM;Italy;AEHAM;United Arab Emirates
24/06/2022;87042319;vincenzo macgyver;KGS;1;65761.69;1;DEALM;Germany;JOAQB;Jordan
17/06/2022;87042321;keara lueilwitz;KGS;1;64922.98;1;BEBCN;Belgium;AEMKH;United Arab Emirates
10/06/2022;87042321;freddy veum;KGS;1;71992.10;1;ITASS;Italy;AEIND;United Arab Emirates
19/06/2022;87042319;raymond prohaska;KGS;1;67961.16;1;DEASU;Germany;AEQIW;United Arab Emirates
25/06/2022;87042320;lysanne pfannerstill;KGS;1;65385.12;1;BEANS;Belgium;AEMSA;United Arab Emirates
14/06/2022;87042329;luther kautzer;KGS;1;69741.28;1;BEADU;Belgium;JOMPQ;Jordan
15/06/2022;87042321;harold baumbach;KGS;1;70520.08;1;BEANE;Belgium;AEZUR;United Arab Emirates
30/06/2022;87042320;madge ullrich;KGS;1;72274.52;1;ITASP;Italy;JOAMM;Jordan
18/06/2022;87042329;webster cassin;KGS;1;69912.44;1;DEADF;Germany;JOMPQ;Jordan
25/06/2022;87042321;jaquan torp;KGS;1;64871.63;1;BEBEA;Belgium;JOQIR;Jordan
26/06/2022;87042313;minnie bartoletti;KGS;1;67858.46;1;DEAHL;Germany;JOMPQ;Jordan
30/06/2022;87042322;forrest rau;KGS;1;69398.95;1;ITANZ;Italy;AEIND;United Arab Emirates
28/06/2022;87042322;javonte kautzer;KGS;1;68962.48;1;ITARS;Italy;JOAQJ;Jordan
25/06/2022;87042311;jayde sipes;KGS;1;67849.90;1;BEASP;Belgium;AENHD;United Arab Emirates
04/06/2022;87042320;berenice fay;KGS;1;72676.76;1;BEBEH;Belgium;AEJEA;United Arab Emirates
21/06/2022;87042323;rashad hamill;KGS;1;68885.45;1;DEARG;Germany;AEIND;United Arab Emirates
01/06/2022;87042322;trisha crona;KGS;1;69193.55;1;DEABF;Germany;AESHJ;United Arab Emirates
19/06/2022;87042329;marlen welch;KGS;1;69946.68;1;ITASS;Italy;AEDAS;United Arab Emirates
07/06/2022;87042313;adelbert johnson;KGS;1;71974.98;1;BEBCI;Belgium;AENHD;United Arab Emirates
04/06/2022;87042320;waldo swaniawski;KGS;1;65744.57;1;ITALR;Italy;JOAMM;Jordan
30/06/2022;87042313;charley dubuque;KGS;1;66600.39;1;ITAVL;Italy;AERUW;United Arab Emirates
05/06/2022;87042313;sebastian price;KGS;1;66104.02;1;BEAIS;Belgium;JOAQB;Jordan
06/06/2022;87042320;esta moore;KGS;1;66189.60;1;ITAPZ;Italy;AEKHA;United Arab Emirates
01/06/2022;87042323;walton macgyver;KGS;1;65462.15;1;BEBCR;Belgium;AEFAT;United Arab Emirates
12/06/2022;87042310;saige dicki;KGS;1;72257.41;1;BEBCI;Belgium;AEMKH;United Arab Emirates
28/06/2022;87042322;boris macejkovic;KGS;1;64512.18;1;DEAAL;Germany;AEAJM;United Arab Emirates
24/06/2022;87042311;maverick harvey;KGS;1;71016.46;1;BEART;Belgium;JOMPQ;Jordan
14/06/2022;87042321;elenora herman;KGS;1;65119.82;1;BEAME;Belgium;AEKHA;United Arab Emirates
16/06/2022;87042313;kacey wolf;KGS;1;69818.30;1;BEAGI;Belgium;AEQIW;United Arab Emirates
01/06/2022;87042321;maiya pfeffer;KGS;1;68808.43;1;ITASP;Italy;JOQIR;Jordan
07/06/2022;87042311;eleanora simonis;KGS;1;64306.78;1;ITAVZ;Italy;AEAJM;United Arab Emirates
23/06/2022;87042320;kenya schroeder;KGS;1;67293.61;1;ITAGI;Italy;AEFJR;United Arab Emirates
26/06/2022;87042310;patrick bogisich;KGS;1;67208.03;1;ITAPO;Italy;JOAMM;Jordan
20/06/2022;87042320;gerry oberbrunner;KGS;1;67841.34;1;DEAAH;Germany;JOQIR;Jordan
30/06/2022;87042311;timmy kirlin;KGS;1;69441.74;1;DEAGT;Germany;AEFJR;United Arab Emirates
16/06/2022;87042323;bella klocko;KGS;1;68192.23;1;DEAST;Germany;JOQIR;Jordan
30/06/2022;87042329;lester towne;KGS;1;70776.83;1;BEBEI;Belgium;JOMPQ;Jordan
22/06/2022;87042311;micah klocko;KGS;1;67678.74;1;BEBCO;Belgium;JOAMM;Jordan
04/06/2022;87042322;luigi sawayn;KGS;1;65753.13;1;ITACD;Italy;JOZAR;Jordan
17/06/2022;87042311;dawson kessler;KGS;1;67113.89;1;DEALE;Germany;JOMPQ;Jordan
30/06/2022;87042323;orion reynolds;KGS;1;65479.26;1;ITAZZ;Italy;JOAMM;Jordan
08/06/2022;87042313;lenora kuphal;KGS;1;71589.86;1;DEARB;Germany;AERUW;United Arab Emirates
14/06/2022;87042313;jamir boyer;KGS;1;69921.00;1;DEASD;Germany;JOAQB;Jordan
30/06/2022;87042323;robbie hilll;KGS;1;68731.40;1;BEAST;Belgium;JOZAR;Jordan
05/06/2022;87042321;jailyn dicki;KGS;1;65179.72;1;BEANH;Belgium;AEDUY;United Arab Emirates
05/06/2022;87042321;dwight hauck;KGS;1;69681.37;1;ITACC;Italy;JOAQB;Jordan
02/06/2022;87042310;rogelio wolf;KGS;1;68414.75;1;DEADO;Germany;AEABU;United Arab Emirates
21/06/2022;87042322;d'angelo fahey;KGS;1;66925.61;1;DEAKT;Germany;JOMPQ;Jordan
30/06/2022;87042323;carissa pouros;KGS;1;69595.79;1;BEBCT;Belgium;AEMAS;United Arab Emirates
06/06/2022;87042321;damion bergnaum;KGS;1;66848.58;1;DEALN;Germany;JOMPQ;Jordan
05/06/2022;87042320;jakob bartell;KGS;1;68149.44;1;DEAPP;Germany;JOAQJ;Jordan
22/06/2022;87042311;cooper marquardt;KGS;1;70639.89;1;ITAVA;Italy;AEDAS;United Arab Emirates
01/06/2022;87042321;ova wuckert;KGS;1;72197.50;1;BEADK;Belgium;AENHD;United Arab Emirates
23/06/2022;87042321;harmon reichel;KGS;1;72539.83;1;ITACU;Italy;JOAQJ;Jordan
25/06/2022;87042320;hubert oberbrunner;KGS;1;69441.74;1;DEAST;Germany;AEHAM;United Arab Emirates
30/06/2022;87042311;marjorie ebert;KGS;1;67567.48;1;BEABY;Belgium;AEMAS;United Arab Emirates
27/06/2022;87042310;josefa will;KGS;1;69048.06;1;ITAOI;Italy;AEIND;United Arab Emirates
21/06/2022;87042319;hester zulauf;KGS;1;67225.15;1;BEAWS;Belgium;JOZAR;Jordan
10/06/2022;87042321;myrna torp;KGS;1;71709.68;1;ITAVZ;Italy;JOAQB;Jordan
18/06/2022;87042310;maximo torphy;KGS;1;69184.99;1;ITACR;Italy;JOZAR;Jordan
03/06/2022;87042323;corene volkman;KGS;1;70477.29;1;DEADF;Germany;JOZAR;Jordan
18/06/2022;87042323;loma senger;KGS;1;71367.35;1;ITAGN;Italy;AEDUY;United Arab Emirates
29/06/2022;87042323;jeramy cartwright;KGS;1;72608.29;1;ITALE;Italy;AEDBP;United Arab Emirates
25/06/2022;87042323;edwin abernathy;KGS;1;69869.65;1;ITASI;Italy;AEZUR;United Arab Emirates
21/06/2022;87042321;jacey purdy;KGS;1;71059.25;1;ITALB;Italy;AESHJ;United Arab Emirates
16/06/2022;87042321;sylvia bode;KGS;1;71238.97;1;DEAPE;Germany;AEKLF;United Arab Emirates
12/06/2022;87042322;audreanne hermann;KGS;1;64554.97;1;DEACM;Germany;JOMPQ;Jordan
04/06/2022;87042329;marlene emard;KGS;1;66317.97;1;DEAHR;Germany;JOMPQ;Jordan
08/06/2022;87042319;adriana paucek;KGS;1;69048.06;1;ITASI;Italy;AEMKH;United Arab Emirates
01/06/2022;87042311;domenic moore;KGS;1;66317.97;1;BEBCS;Belgium;JOAQJ;Jordan
29/06/2022;87042320;felipa miller;KGS;1;68988.15;1;DEANB;Germany;JOQIR;Jordan
06/06/2022;87042322;kolby jakubowski;KGS;1;70417.38;1;BEANS;Belgium;JOAMM;Jordan
08/06/2022;87042320;rebeca hoppe;KGS;1;69604.34;1;BEARO;Belgium;AEULR;United Arab Emirates
14/06/2022;87042313;hildegard wisozk;KGS;1;68979.59;1;DEALF;Germany;AEMBS;United Arab Emirates
09/06/2022;87042329;torrey lubowitz;KGS;1;65119.82;1;ITAIL;Italy;JOAQJ;Jordan
26/06/2022;87042321;samson barrows;KGS;1;67584.60;1;BEABO;Belgium;JOZAR;Jordan
07/06/2022;87042313;michele larson;KGS;1;66728.77;1;DEAPP;Germany;AEJED;United Arab Emirates
26/06/2022;87042329;robyn schmidt;KGS;1;65248.19;1;BEAMO;Belgium;AERKT;United Arab Emirates
13/06/2022;87042323;peter waters;KGS;1;72633.97;1;DEABS;Germany;JOAQB;Jordan
15/06/2022;87042320;jameson mertz;KGS;1;70870.97;1;BEAMO;Belgium;AEMZD;United Arab Emirates
16/06/2022;87042320;leonor ward;KGS;1;64281.11;1;ITALI;Italy;JOAQB;Jordan
19/06/2022;87042323;rylan wisozk;KGS;1;67353.52;1;ITALM;Italy;AEMAS;United Arab Emirates
03/06/2022;87042319;woodrow rohan;KGS;1;65984.20;1;ITABG;Italy;JOAQJ;Jordan
04/06/2022;87042319;eugene will;KGS;1;72651.09;1;DEADF;Germany;JOAQB;Jordan
30/06/2022;87042320;cydney stracke;KGS;1;64631.99;1;BEBBX;Belgium;JOMPQ;Jordan
17/06/2022;87042322;euna carter;KGS;1;69142.20;1;ITAVZ;Italy;AEARZ;United Arab Emirates
12/06/2022;87042322;kenton gottlieb;KGS;1;70220.54;1;BEBCE;Belgium;JOAQJ;Jordan
26/06/2022;87042311;ally walsh;KGS;1;67199.47;1;ITARZ;Italy;AEAJM;United Arab Emirates
29/06/2022;87042320;geo toy;KGS;1;68106.65;1;BEANE;Belgium;AEJED;United Arab Emirates
24/06/2022;87042310;alyce parker;KGS;1;67447.66;1;ITASP;Italy;JOAMM;Jordan
12/06/2022;87042319;rex gerhold;KGS;1;68038.18;1;DEAFT;Germany;JOAMM;Jordan
04/06/2022;87042323;laila stehr;KGS;1;67404.87;1;ITAMS;Italy;JOAQJ;Jordan
11/06/2022;87042320;oceane wuckert;KGS;1;70699.80;1;ITARC;Italy;JOAQB;Jordan
29/06/2022;87042321;marge muller;KGS;1;72360.11;1;BEBDI;Belgium;JOMPQ;Jordan
20/06/2022;87042322;gage fahey;KGS;1;71615.54;1;BEAAS;Belgium;JOZAR;Jordan
28/06/2022;87042329;haylee christiansen;KGS;1;71820.93;1;DEAMO;Germany;JOZAR;Jordan
08/06/2022;87042321;mallie tromp;KGS;1;65590.52;1;DEADN;Germany;AEMKH;United Arab Emirates
17/06/2022;87042313;clemmie schmidt;KGS;1;68996.71;1;DEABT;Germany;AEHAM;United Arab Emirates
11/06/2022;87042310;gerard gerlach;KGS;1;67961.16;1;ITAPA;Italy;JOZAR;Jordan
02/06/2022;87042319;crystal kihn;KGS;1;64837.39;1;ITARL;Italy;JOAMM;Jordan
11/06/2022;87042322;edythe corwin;KGS;1;68996.71;1;BEBAL;Belgium;JOAQB;Jordan
02/06/2022;87042319;curt gerlach;KGS;1;65581.96;1;DEAHD;Germany;JOQIR;Jordan
16/06/2022;87042311;hollis lesch;KGS;1;64777.49;1;ITARL;Italy;AEMZD;United Arab Emirates
01/06/2022;87042323;merritt leffler;KGS;1;69707.04;1;DEAUR;Germany;JOQIR;Jordan
29/06/2022;87042313;darren larson;KGS;1;72368.66;1;DEAMM;Germany;JOAQB;Jordan
20/06/2022;87042311;gerhard mohr;KGS;1;64863.07;1;DEAIL;Germany;AEPRA;United Arab Emirates
15/06/2022;87042319;allie lebsack;KGS;1;64640.55;1;DEALN;Germany;AEJED;United Arab Emirates
11/06/2022;87042322;bernita beahan;KGS;1;69450.30;1;BEADI;Belgium;JOAMM;Jordan
25/06/2022;87042329;ransom hessel;KGS;1;64366.69;1;BEBAS;Belgium;AEKLF;United Arab Emirates
02/06/2022;87042313;marjorie hand;KGS;1;67447.66;1;ITARO;Italy;AEKLF;United Arab Emirates
09/06/2022;87042313;mariela maggio;KGS;1;66531.93;1;ITAVL;Italy;AEABU;United Arab Emirates
02/06/2022;87042321;kiera leuschke;KGS;1;72702.44;1;ITASO;Italy;JOZAR;Jordan
18/06/2022;87042319;lacey barrows;KGS;1;67430.55;1;ITAVI;Italy;AEFMZ;United Arab Emirates
30/06/2022;87042311;larry collier;KGS;1;67798.55;1;ITAST;Italy;JOAQJ;Jordan
01/06/2022;87042321;enid rau;KGS;1;64726.14;1;ITACE;Italy;JOMPQ;Jordan
02/06/2022;87042320;lucy tremblay;KGS;1;69030.94;1;ITAKD;Italy;AEAUH;United Arab Emirates
11/06/2022;87042311;cassandre bailey;KGS;1;70605.66;1;ITARE;Italy;JOQIR;Jordan
16/06/2022;87042319;jevon treutel;KGS;1;71153.39;1;ITATX;Italy;JOMPQ;Jordan
16/06/2022;87042319;aylin kling;KGS;1;71581.30;1;ITACD;Italy;AERUW;United Arab Emirates
27/06/2022;87042321;itzel hand;KGS;1;69963.79;1;DEAOR;Germany;AEZUR;United Arab Emirates
22/06/2022;87042323;tyson williamson;KGS;1;72214.61;1;DEAIC;Germany;JOQIR;Jordan
25/06/2022;87042321;stefanie roberts;KGS;1;69715.60;1;BEAFN;Belgium;AERUW;United Arab Emirates
12/06/2022;87042313;jadon wilkinson;KGS;1;66968.40;1;BEAMY;Belgium;JOAMM;Jordan
03/06/2022;87042322;aimee bins;KGS;1;69039.50;1;ITAMA;Italy;JOZAR;Jordan
24/06/2022;87042329;earnestine fay;KGS;1;71444.37;1;DEALZ;Germany;AEPRA;United Arab Emirates
12/06/2022;87042313;ewald stark;KGS;1;69561.55;1;BEANR;Belgium;JOAQJ;Jordan
15/06/2022;87042320;zoey schiller;KGS;1;71786.70;1;ITAOT;Italy;JOAMM;Jordan
10/06/2022;87042329;bettye torphy;KGS;1;71444.37;1;BEARS;Belgium;JOQIR;Jordan
17/06/2022;87042311;krystina hackett;KGS;1;67558.92;1;ITALE;Italy;JOAMM;Jordan
12/06/2022;87042319;ruben ledner;KGS;1;68568.80;1;ITASO;Italy;AEKLF;United Arab Emirates
10/06/2022;87042321;ted barrows;KGS;1;69424.62;1;BEBBG;Belgium;JOAQB;Jordan
20/06/2022;87042319;justyn sipes;KGS;1;70973.67;1;ITARE;Italy;JOAQB;Jordan
25/06/2022;87042319;tressie kohler;KGS;1;70443.05;1;ITARA;Italy;JOQIR;Jordan
09/06/2022;87042322;margarette bechtelar;KGS;1;71718.24;1;BEASB;Belgium;AEJYH;United Arab Emirates
07/06/2022;87042320;jeffrey hirthe;KGS;1;65419.35;1;DEABH;Germany;AEPRA;United Arab Emirates
25/06/2022;87042310;naomie mraz;KGS;1;68508.89;1;ITANN;Italy;AEDXB;United Arab Emirates
04/06/2022;87042322;morgan halvorson;KGS;1;65239.63;1;BEAMY;Belgium;AEFAT;United Arab Emirates
28/06/2022;87042313;josiah wiza;KGS;1;68799.87;1;DEATN;Germany;JOMPQ;Jordan
09/06/2022;87042323;marlene bergnaum;KGS;1;69998.03;1;BEBCO;Belgium;AEDUY;United Arab Emirates
22/06/2022;87042322;brent kreiger;KGS;1;65453.59;1;ITAIA;Italy;JOMPQ;Jordan
18/06/2022;87042310;maurine lehner;KGS;1;65599.08;1;BEASB;Belgium;JOQIR;Jordan
16/06/2022;87042323;reymundo orn;KGS;1;68243.58;1;BEABE;Belgium;JOQIR;Jordan
04/06/2022;87042329;audie koss;KGS;1;70015.14;1;ITAON;Italy;JOAMM;Jordan
04/06/2022;87042319;dulce satterfield;KGS;1;70126.40;1;DEASA;Germany;AESHJ;United Arab Emirates
11/06/2022;87042313;mattie sipes;KGS;1;72556.95;1;ITAMS;Italy;JOAMM;Jordan
16/06/2022;87042311;tyshawn walter;KGS;1;68098.09;1;ITANO;Italy;AEJYH;United Arab Emirates
17/06/2022;87042329;milan waelchi;KGS;1;67961.16;1;DEAOR;Germany;JOAQB;Jordan
12/06/2022;87042311;georgette connelly;KGS;1;70554.31;1;DEAGT;Germany;JOMPQ;Jordan
03/06/2022;87042321;riley keebler;KGS;1;72676.76;1;DEALP;Germany;JOZAR;Jordan
09/06/2022;87042313;sally hills;KGS;1;71444.37;1;DEASU;Germany;AEAJM;United Arab Emirates
17/06/2022;87042323;jaylon schroeder;KGS;1;67738.64;1;BEASE;Belgium;JOAQB;Jordan
27/06/2022;87042329;enoch kulas;KGS;1;67387.76;1;DEADF;Germany;AEDUY;United Arab Emirates
01/06/2022;87042311;buford beahan;KGS;1;70982.23;1;BEBCI;Belgium;JOZAR;Jordan
17/06/2022;87042319;kay leannon;KGS;1;65479.26;1;DEAMM;Germany;JOZAR;Jordan
02/06/2022;87042313;alexander harris;KGS;1;70023.70;1;DEAHL;Germany;AEDHF;United Arab Emirates
14/06/2022;87042320;elena mueller;KGS;1;68680.05;1;BEBAZ;Belgium;AEJED;United Arab Emirates
07/06/2022;87042322;camylle labadie;KGS;1;71632.65;1;BEAAT;Belgium;JOMPQ;Jordan
07/06/2022;87042320;donnell durgan;KGS;1;70768.27;1;ITALA;Italy;AESHJ;United Arab Emirates
11/06/2022;87042322;milton boehm;KGS;1;65504.94;1;DEALL;Germany;AEAJM;United Arab Emirates
16/06/2022;87042320;pedro keebler;KGS;1;65068.47;1;ITAKA;Italy;JOAMM;Jordan
19/06/2022;87042323;lorena herzog;KGS;1;70049.37;1;ITALC;Italy;AEAJM;United Arab Emirates
02/06/2022;87042321;domingo kub;KGS;1;64512.18;1;ITATE;Italy;AESHJ;United Arab Emirates
06/06/2022;87042329;alvis champlin;KGS;1;70126.40;1;DEABH;Germany;JOAMM;Jordan
17/06/2022;87042311;donnie o'conner;KGS;1;68038.18;1;BEBAR;Belgium;AEMZD;United Arab Emirates
27/06/2022;87042322;lukas runolfsdottir;KGS;1;71572.75;1;ITALC;Italy;AEMBS;United Arab Emirates
20/06/2022;87042313;eldridge klein;KGS;1;69766.95;1;ITAJA;Italy;JOMPQ;Jordan
09/06/2022;87042319;maryam rogahn;KGS;1;68671.49;1;BEABC;Belgium;JOMPQ;Jordan
19/06/2022;87042320;alford ziemann;KGS;1;68166.56;1;DEASH;Germany;JOMPQ;Jordan
03/06/2022;87042320;gilbert koelpin;KGS;1;70785.39;1;DEANS;Germany;JOZAR;Jordan
05/06/2022;87042313;eulalia labadie;KGS;1;71350.23;1;BEAKN;Belgium;JOZAR;Jordan
14/06/2022;87042313;nyasia kunze;KGS;1;69167.87;1;BEASR;Belgium;JOZAR;Jordan
02/06/2022;87042310;emilia mills;KGS;1;71624.09;1;ITAVE;Italy;AERUW;United Arab Emirates
26/06/2022;87042313;zita hartmann;KGS;1;70477.29;1;ITARE;Italy;JOQIR;Jordan
28/06/2022;87042329;waylon mosciski;KGS;1;68996.71;1;ITACD;Italy;JOZAR;Jordan
26/06/2022;87042329;edwin reinger;KGS;1;72599.74;1;BEARS;Belgium;AERUW;United Arab Emirates
14/06/2022;87042321;marlon wiza;KGS;1;67969.72;1;ITACS;Italy;JOAQJ;Jordan
23/06/2022;87042313;abe dooley;KGS;1;69167.87;1;BEAVR;Belgium;AEAAN;United Arab Emirates
26/06/2022;87042310;myron rohan;KGS;1;69878.21;1;ITARN;Italy;JOAQJ;Jordan
08/06/2022;87042323;janick sporer;KGS;1;65847.27;1;DEAHM;Germany;AEABU;United Arab Emirates
14/06/2022;87042313;jerrod batz;KGS;1;64212.64;1;BEBAZ;Belgium;AEAJM;United Arab Emirates
26/06/2022;87042321;johnathon reinger;KGS;1;72120.47;1;ITAKA;Italy;AEFJR;United Arab Emirates
26/06/2022;87042310;bobbie mueller;KGS;1;70049.37;1;ITABN;Italy;AEPRA;United Arab Emirates
11/06/2022;87042310;jerod renner;KGS;1;66574.72;1;ITAOI;Italy;AESHJ;United Arab Emirates
07/06/2022;87042320;gilbert pfannerstill;KGS;1;66189.60;1;ITAPZ;Italy;JOAQJ;Jordan
14/06/2022;87042323;jace nienow;KGS;1;65462.15;1;BEAKN;Belgium;AEHAM;United Arab Emirates
07/06/2022;87042311;assunta schimmel;KGS;1;65564.85;1;ITASL;Italy;AEMZD;United Arab Emirates
